id,gloss,count,speaker_role,language,target_child_name,target_child_age,target_child_sex,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
13534468,Dachs,1,Target_Child,deu,Pauline,84.59311279492393,female,German,16,252,18383,18383,30252
17826115,Dachs,1,Target_Child,deu,BW,26.394792500872708,male,German,32,380,24178,24178,47814
17860936,Dachs,2,Target_Child,deu,RL,43.06659274317748,male,German,32,382,24212,24212,48095
12198433,Elch,2,Mother,deu,Caroline,27.39481303517526,NA,German,16,246,17716,17715,28536
12439049,elch,1,Target_Child,deu,Anne,77.7243885911415,female,German,16,250,17981,17981,28976
12457142,elch,1,Target_Child,deu,Claudia,51.198176553933344,female,German,16,250,17986,17986,28981
12469868,elch,3,Target_Child,deu,Eileen,64.72412164520831,female,German,16,250,17999,17999,29008
12505153,elch,1,Mother,deu,Laura,25.46048173473788,female,German,16,250,18038,18036,29048
12520215,elch,1,Investigator,deu,Lara,50.75668904905645,female,German,16,250,18033,18027,29045
12545100,elch,1,Investigator,deu,Michelle,47.72377256206493,female,German,16,250,18075,18073,29094
12575660,elch,1,Mother,deu,Phillip,69.8884987371404,male,German,16,250,18097,18096,29124
12595306,Elch,1,Investigator,deu,Anna,17.493172344401323,female,German,16,250,18138,18136,29172
12633578,Elch,1,Investigator,deu,Emely,27.033409310252775,female,German,16,250,18152,18149,29206
12643781,Elch,1,Investigator,deu,Emely,33.493500893242164,female,German,16,250,18155,18149,29211
12654510,Elch,3,Father,deu,Falko,29.526273640115814,male,German,16,250,18168,18165,29235
12658720,Elch,1,Target_Child,deu,Falko,27.131973962504365,male,German,16,250,18165,18165,29233
12659114,Elch,1,Mother,deu,Falko,27.131973962504365,male,German,16,250,18166,18165,29233
12662380,Elch,2,Mother,deu,Falko,20.000410686051048,male,German,16,250,18166,18165,29228
12666922,Elch,5,Mother,deu,Falko,25.46048173473788,male,German,16,250,18166,18165,29232
12731426,Elch,1,Mother,deu,Luisa,25.197642662066983,female,German,16,250,18234,18233,29306
12753506,Elch,2,Mother,deu,Martin,29.099160147025607,male,German,16,250,18248,18247,29323
12771730,Elch,4,Mother,deu,Rahel,29.394854103780364,female,German,16,250,18258,18257,29339
12974410,Elch,1,Target_Child,deu,Leo,30.92055278342471,male,German,16,251,18301,18301,29610
12974791,Elch,1,Father,deu,Leo,30.92055278342471,male,German,16,251,18309,18301,29610
12975725,Elch,1,Target_Child,deu,Leo,31.394895172385468,male,German,16,251,18301,18301,29623
12976380,Elch,1,Father,deu,Leo,31.394895172385468,male,German,16,251,18309,18301,29623
12992201,Elch,1,Target_Child,deu,Leo,32.033511981765535,male,German,16,251,18301,18301,29642
